COUNTY,2012_NEW_HOMES,2013_NEW_HOMES,2014_NEW_HOMES,2015_NEW_HOMES,2016_NEW_HOMES,2017_NEW_HOMES,2018_NEW_HOMES,2019_NEW_HOMES,2020_NEW_HOMES,2021_NEW_HOMES,2022_NEW_HOMES,2023_NEW_HOMES,Unnamed: 13_x,2012_NEW_HOMES,2013_NEW_HOMES,2014_NEW_HOMES,2015_NEW_HOMES,2016_NEW_HOMES,2017_NEW_HOMES,2018_NEW_HOMES,2019_NEW_HOMES,2020_NEW_HOMES,2021_NEW_HOMES,2022_NEW_HOMES,2023_NEW_HOMES,2012_EXISTING_HOMES,2013_EXISTING_HOMES,2014_EXISTING_HOMES,2015_EXISTING_HOMES,2016_EXISTING_HOMES,2017_EXISTING_HOMES,2018_EXISTING_HOMES,2019_EXISTING_HOMES,2020_EXISTING_HOMES,2021_EXISTING_HOMES,2022_EXISTING_HOMES,2023_EXISTING_HOMES,Unnamed: 13_y,2012_EXISTING_HOMES,2013_EXISTING_HOMES,2014_EXISTING_HOMES,2015_EXISTING_HOMES,2016_EXISTING_HOMES,2017_EXISTING_HOMES,2018_EXISTING_HOMES,2019_EXISTING_HOMES,2020_EXISTING_HOMES,2021_EXISTING_HOMES,2022_EXISTING_HOMES,2023_EXISTING_HOMES,OBJECTID,GEOID,STATE,COUNTY_CODE,STUSAB,STATE_NAME,ALL_PERMITS_1980,ALL_PERMITS_1981,ALL_PERMITS_1982,ALL_PERMITS_1983,ALL_PERMITS_1984,ALL_PERMITS_1985,ALL_PERMITS_1986,ALL_PERMITS_1987,ALL_PERMITS_1988,ALL_PERMITS_1989,ALL_PERMITS_1990,ALL_PERMITS_1991,ALL_PERMITS_1992,ALL_PERMITS_1993,ALL_PERMITS_1994,ALL_PERMITS_1995,ALL_PERMITS_1996,ALL_PERMITS_1997,ALL_PERMITS_1998,ALL_PERMITS_1999,ALL_PERMITS_2000,ALL_PERMITS_2001,ALL_PERMITS_2002,ALL_PERMITS_2003,ALL_PERMITS_2004,ALL_PERMITS_2005,ALL_PERMITS_2006,ALL_PERMITS_2007,ALL_PERMITS_2008,ALL_PERMITS_2009,ALL_PERMITS_2010,ALL_PERMITS_2011,ALL_PERMITS_2012,ALL_PERMITS_2013,ALL_PERMITS_2014,ALL_PERMITS_2015,ALL_PERMITS_2016,ALL_PERMITS_2017,ALL_PERMITS_2018,ALL_PERMITS_2019,ALL_PERMITS_2020,ALL_PERMITS_2021,ALL_PERMITS_2022
Cheatham,13,10,30,39,41,91,160,197,95,131,147,111,,207000,194121,196450,200000,240850,236700,239900,249500,254440,345000,380000,398900,304,375,398,518,582,565,505,499,784,634,594,492,,151021,155000,155000,159000,176950,187000,200000,230000,255000,300000,346750,352750,2377,47021,47,21,TN,Tennessee,154.0,104.0,123.0,154.0,167.0,274.0,359.0,429.0,374.0,321.0,335.0,282.0,300.0,338.0,376.0,447.0,481.0,556.0,369.0,371.0,236.0,252.0,325.0,367.0,291.0,258.0,295.0,231.0,142.0,282.0,50.0,45.0,49.0,61.0,107.0,121.0,173.0,293.0,292.0,344.0,257.0,407,301.0
Chester,14,17,9,10,15,24,17,11,6,12,11,19,,125950,122900,128500,136700,134900,136900,136000,184900,201950,179900,215000,224855,94,101,123,132,151,164,147,190,188,163,190,112,,90450,110000,95100,112000,112200,113175,116000,126000,142500,162000,180000,189900,2890,47023,47,23,TN,Tennessee,27.0,24.0,133.0,161.0,161.0,137.0,119.0,92.0,89.0,22.0,41.0,34.0,24.0,34.0,44.0,48.0,41.0,55.0,84.0,75.0,63.0,34.0,40.0,39.0,40.0,115.0,45.0,42.0,27.0,30.0,27.0,11.0,19.0,14.0,8.0,13.0,20.0,24.0,21.0,25.0,20.0,13,32.0
Claiborne,5,8,7,12,15,9,15,15,6,23,16,11,,150000,132500,154900,145400,166150,157300,167000,168466,179250,235000,246950,279500,117,144,136,185,197,255,275,276,319,350,352,274,,114000,114000,97750,112900,117500,120000,120000,126500,143500,165000,199450,193000,1631,47025,47,25,TN,Tennessee,132.0,108.0,171.0,148.0,199.0,144.0,163.0,144.0,155.0,137.0,129.0,143.0,126.0,132.0,167.0,200.0,248.0,253.0,301.0,274.0,254.0,248.0,267.0,193.0,192.0,175.0,173.0,139.0,124.0,113.0,108.0,89.0,50.0,78.0,125.0,87.0,99.0,115.0,93.0,75.0,75.0,81,82.0
Clay,1,0,0,0,0,0,0,0,,1,1,3,,107000,,,,,,,,,146000,199900,159900,34,32,40,42,67,52,70,74,62,62,66,57,,62500,58750,83250,73000,82000,77450,95200,98500,115000,137500,137150,165000,2171,47027,47,27,TN,Tennessee,9.0,43.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,22.0,27,26.0
Cocke,3,4,8,9,7,11,8,19,5,17,18,19,,147000,183150,169550,157300,143000,149000,162000,164082,207000,261275,292400,338250,127,135,146,183,224,241,267,279,323,383,371,273,,98050,105000,110000,115000,109950,116500,123000,135000,135000,172000,205000,224000,2041,47029,47,29,TN,Tennessee,7.0,26.0,2.0,3.0,5.0,5.0,5.0,44.0,58.0,49.0,45.0,37.0,44.0,41.0,40.0,40.0,37.0,39.0,36.0,36.0,6.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,5.0,3.0,0,0.0
Coffee,26,32,45,71,103,115,184,192,51,187,159,153,,228450,130962.5,145000,138000,132900,159900,172950,209450,215000,276000,359900,344900,406,505,524,642,771,757,770,740,860,862,775,592,,109400,112000,117250,122650,132500,134000,149950,161250,198450,221500,257000,275000,1559,47031,47,31,TN,Tennessee,247.0,78.0,37.0,134.0,68.0,87.0,100.0,110.0,173.0,142.0,153.0,108.0,98.0,127.0,119.0,118.0,130.0,119.0,137.0,89.0,224.0,109.0,170.0,173.0,197.0,545.0,516.0,492.0,274.0,144.0,70.0,62.0,89.0,112.0,129.0,132.0,206.0,316.0,262.0,330.0,214.0,210,261.0
Crockett,10,6,8,11,12,9,8,4,1,10,2,2,,115250,123900,127400,124500,138900,140000,154900,177500,169900,212500,309900,384450,89,91,95,113,104,116,141,156,176,175,207,140,,75000,72900,74900,75000,79675,95000,93000,86500,101000,125000,133000,145450,1396,47033,47,33,TN,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,2.0,5.0,5.0,3.0,7.0,13.0,4.0,2.0,2.0,10.0,3.0,3.0,34.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,36,26.0
Cumberland,44,46,55,58,76,97,122,149,48,137,117,123,,160250,176000,175900,185750,180000,188500,179900,180000,188750,255500,350000,379900,488,606,676,799,815,1030,1073,971,1108,1100,1132,821,,135000,140000,135000,139000,144800,150000,155000,176500,194500,242700,264750,285000,2881,47035,47,35,TN,Tennessee,31.0,40.0,71.0,100.0,845.0,130.0,28.0,62.0,31.0,88.0,69.0,50.0,64.0,79.0,144.0,87.0,173.0,100.0,86.0,115.0,101.0,115.0,56.0,102.0,166.0,124.0,183.0,162.0,113.0,69.0,69.0,176.0,182.0,262.0,246.0,262.0,247.0,285.0,914.0,405.0,443.0,477,425.0
Davidson,912,1176,1493,2597,2889,3271,2939,3097,850,3418,3091,2853,,198964.5,257775,290300,331825,340000,345000,365700,379900,408950,422175,467525,483300,5964,7779,9374,10744,10710,11284,11929,12206,14834,15349,11407,8605,,177500,180000,190000,201000,228950,245000,260000,275500,320000,354900,418000,420000,3171,47037,47,37,TN,Tennessee,1916.0,1349.0,2302.0,7085.0,12780.0,10580.0,8322.0,3707.0,3944.0,1972.0,1692.0,1594.0,2030.0,2446.0,2979.0,3066.0,4887.0,4162.0,3335.0,3927.0,3087.0,3552.0,3465.0,4313.0,4808.0,5020.0,5128.0,5543.0,2369.0,1660.0,1608.0,1966.0,2963.0,4038.0,6413.0,8197.0,9566.0,6410.0,6934.0,9915.0,13324.0,16310,15163.0
Decatur,1,1,0,1,2,2,3,1,3,5,1,,,92000,165000,,35000,80500,73250,112450,122500,246400,92900,409900,,78,78,62,93,112,115,118,129,162,190,135,132,,82220.5,70975,67500,80000,81375,90500,89950,100000,92000,125000,144500,147500,562,47039,47,39,TN,Tennessee,2.0,2.0,0.0,54.0,61.0,45.0,34.0,23.0,32.0,4.0,4.0,4.0,10.0,3.0,4.0,3.0,3.0,9.0,3.0,3.0,6.0,15.0,11.0,10.0,8.0,2.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5.0
